"TID","RU"
"TID_TUTORIAL_RAID_TEASER_3","Придется немного подождать. Упражняйся в атаках и укрепляй оборону."
"TID_TUTORIAL_RAID_WEEKEND_1","Пора на рейд! В дни рейдов твой клан нападает на столицы других кланов."
"TID_TUTORIAL_RAID_WEEKEND_2","Здесь показан клан-соперник, который вы атакуете. Чтобы победить, твой клан должен уничтожить все районы его столицы."
"TID_TUTORIAL_RAID_WEEKEND_3","После разгрома этой столицы придет очередь столицы другого клана. Соперники будут сменяться, пока идут дни рейдов!"
"TID_TUTORIAL_RAID_WEEKEND_4","Каждый может провести определенное количество атак. Впервые заработав 3 звезды, ты получишь дополнительную атаку."
"TID_TUTORIAL_RAID_WEEKEND_5","В это время другие кланы будут атаковать твою столицу. Говорил же, надо было улучшить больше защитных сооружений..."
"TID_TUTORIAL_RAID_WEEKEND_6","По окончании дней рейдов ты получишь медали рейда в соответствии с успехами твоего клана в атаке и обороне."
"TID_TUTORIAL_REINFORCEMENT_CAMP_INTRO_1","Мне тут пришло в голову, что атаковать в два этапа может быть сложновато."
"TID_TUTORIAL_REINFORCEMENT_CAMP_INTRO_2","Э-э-э... Я не говорю, что у тебя плохо с атакой. Это совсем не то, что я имел в виду."
"TID_TUTORIAL_REINFORCEMENT_CAMP_INTRO_3","Но я подумал, что на втором этапе тебе может пригодиться подкрепление."
"TID_TUTORIAL_REINFORCEMENT_CAMP_INTRO_4","Используй его на свое усмотрение."
"TID_TUTORIAL_RUINS_1","Хм, кажется, тут давно не делали ремонт..."
"TID_TUTORIAL_RUINS_2","Восстанови эти руины, и в районе появятся новые здания."
"TID_TUTORIAL_RUINS_3","Здесь видно, что ты получишь и сколько золота столицы на это уйдет."
"TID_TUTORIAL_RUINS_4","Больше зданий означает больше вариантов для обороны и мощных атак."
"TID_TUTORIAL_SEASON_CHALLENGE_1","Приветствую, вождь! Думаю, теперь можно попробовать что-то новое."
"TID_TUTORIAL_SEASON_CHALLENGE_2","Отныне здесь каждый месяц будут новые испытания и награды!"
"TID_TUTORIAL_SEASON_CHALLENGE_3","Здесь также есть новый вид наград — привилегии. Давай взглянем на них!"
"TID_TUTORIAL_SEASON_CHALLENGE_4","Банк сезона наполняется сам собой, когда ты получаешь добычу в сражениях."
"TID_TUTORIAL_SEASON_CHALLENGE_5","В конце каждого месяца его содержимое отправляется в твои хранилища!"
"TID_TUTORIAL_SEASON_CHALLENGE_6","Другие привилегии помогают со строительством, исследованиями, тренировкой и оплатой жертвования."
"TID_TUTORIAL_SEASON_CHALLENGE_7","Приобрети золотой пропуск и заработай все привилегии вместе с другими великолепными наградами!"
"TID_TUTORIAL_SELF_DONATING_1","Вождь, полученные в столице медали рейда можно использовать здесь."
"TID_TUTORIAL_SELF_DONATING_2","С их помощью ты можешь заполнить крепость клана любыми войсками."
"TID_TUTORIAL_SELF_DONATING_3","Очень удобно, если все остальные участники клана спят."
"TID_TUTORIAL_SETTINGS_HELP","Нужна помощь, вождь?"
"TID_TUTORIAL_SHIP","Вождь, теперь мы можем восстановить разбившееся у нашего берега судно!"
"TID_TUTORIAL_SHIP_ARRIVE","Земля! Что за странное местечко?"
"TID_TUTORIAL_SHIP_ARRIVE_FIX_VILLAGE","Нам повезло, вождь! Мы можем построить из этих старых зданий укрытие!"
"TID_TUTORIAL_SHIP_LOAD_SHIP","Вождь, наш корабль готов к плаванию!"
"TID_TUTORIAL_SHIP_READY","Не волнуйся, мы не заблудимся! Я запомню дорогу!"
"TID_TUTORIAL_SHOW_STAGE_2_1","Я тут немного перестарался, махая молотком..."
"TID_TUTORIAL_SHOW_STAGE_2_2","И случайно нашел новую пещеру. Она может нам пригодиться..."
"TID_TUTORIAL_SHOW_STAGE_2_3","В общем, я там построил кое-что. Просто чтобы было уютнее."
"TID_TUTORIAL_SMITHY_1","Вождь, плавильня готова!"
"TID_TUTORIAL_SMITHY_2","В ней можно открывать и улучшать снаряжение, которое делает ваших героев сильнее."
"TID_TUTORIAL_STAGE_2_INTRO","Э-э-э, привет. Я должен тебе кое о чем рассказать."
"TID_TUTORIAL_STARTER_CHALLENGE_1","У меня есть для тебя несколько испытаний!"
"TID_TUTORIAL_STARTER_CHALLENGE_2","Прохождение каждого испытания приносит очки."
"TID_TUTORIAL_STARTER_CHALLENGE_2A","Кроме этого, иногда ты будешь открывать новые испытания."
"TID_TUTORIAL_STARTER_CHALLENGE_3","Заработай достаточно очков, и получишь награды!"
"TID_TUTORIAL_STARTER_CHALLENGE_4","Здесь показано, сколько очков нужно для каждой награды."
"TID_TUTORIAL_STARTER_CHALLENGE_5","Они помогут сделать нашу деревню сильнее."
"TID_TUTORIAL_STARTER_CHALLENGE_6","Удачи, вождь! Мы верим в тебя!"
"TID_TUTORIAL_TH12_1","Ваша ратуша теперь может вести огонь по нападающим!"
"TID_TUTORIAL_TH12_2","Вы можете улучшить оружие, чтобы оно стало мощней."
"TID_TUTORIAL_TOWN_HALL_1","Благодаря золоту, которое мы забрали у гоблинов, можно улучшить ратушу."
"TID_TUTORIAL_TOWN_HALL_2","Прекрасно! Благодаря улучшению ратуши можно строить новые здания."
"TID_TUTORIAL_TRAIN_1","Теперь давай тренировать войска!"
"TID_TUTORIAL_TRAIN_2","Коснись казармы и выбери «Тренировать войска»."
"TID_TUTORIAL_VILLAGERS_MOVE_OUT","Фух! Переночуем здесь. Теперь это наш новый временный дом!"
"TID_TUTORIAL_WAR_BATTLE_1","В день боя — нападаем! Трофеи и щиты не имеют значения, важна лишь победа!"
"TID_TUTORIAL_WAR_DONATE_1","В день подготовки мы жертвуем войска и проводим разведку деревней противников."
"TID_TUTORIAL_WAR_INFO_1","Коснитесь кнопки информации, чтобы узнать больше. Клан рассчитывает на вас, вождь!"
"TID_TUTORIAL_WAR_LEAGUE_1","У нас получилось, вождь! Мы попали в военные лиги!"
"TID_TUTORIAL_WAR_LEAGUE_10","Здесь можно увидеть позицию своего и остальных кланов."
"TID_TUTORIAL_WAR_LEAGUE_11","Клан, собравший в итоге больше звезд, станет победителем во всей лиге."
"TID_TUTORIAL_WAR_LEAGUE_12","Если мы победим, то сможем перейти в более высокую лигу!"
"TID_TUTORIAL_WAR_LEAGUE_13","Коснитесь этой кнопки, чтобы узнать больше. Думаю, теперь мы готовы!"
"TID_TUTORIAL_WAR_LEAGUE_14","О, и еще одна важная вещь! За звезды и победы мы получим медали лиги."
"TID_TUTORIAL_WAR_LEAGUE_15","Их можно использовать для покупки разных полезных предметов."
"TID_TUTORIAL_WAR_LEAGUE_16","Когда будете готовы, можете перейти в магазин и потратить их!"
"TID_TUTORIAL_WAR_LEAGUE_2","Здесь мы наконец сможем доказать, что наш клан достоин зваться одним из лучших!"
"TID_TUTORIAL_WAR_LEAGUE_3","Давайте начнем готовиться. И я могу в этом помочь!"
"TID_TUTORIAL_WAR_LEAGUE_4","Сначала нам придется сражаться в войнах, одной за другой."
"TID_TUTORIAL_WAR_LEAGUE_5","Можно переходить от одной войны к другой при помощи кнопок внизу."
"TID_TUTORIAL_WAR_LEAGUE_6","Не забывайте заранее жертвовать войска для следующего дня, вождь!"
"TID_TUTORIAL_WAR_LEAGUE_7","Чтобы выиграть, нам нужно собрать больше звезд, чем противнику."
"TID_TUTORIAL_WAR_LEAGUE_8","Каждый участник клана может атаковать лишь раз, так что постарайтесь использовать свой шанс по полной!"
"TID_TUTORIAL_WAR_LEAGUE_9","А теперь посмотрим, что происходит в большем масштабе. Коснитесь кнопки ниже."
"TID_TUTORIAL_WAR_MAP_ENEMY_1","Ничего себе, их военные базы повсюду!"
"TID_TUTORIAL_WAR_MAP_ENEMY_2","Число атак ограничено, поэтому нам понадобится помощь клана, чтобы справиться с врагом."
"TID_TUTORIAL_WAR_MAP_ENEMY_3","Осмотритесь здесь, вождь, а потом займемся нашими военными базами."
"TID_TUTORIAL_WAR_MAP_FRIENDLY_1","Наконец-то вы с нами, вождь! Добро пожаловать в зону боевых действий!"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_2","Наши враги жаждут войны, и наш клан готов к бою!"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_3","Взгляните туда, вождь! Я вижу вражеский клан!"
"TID_TUTORIAL_WORKER_1","Ого, неплохо! Теперь нужно подготовить деревню к сражению."
"TID_TUTORIAL_WORKER_2","Наняв второго строителя, ты сможешь строить два здания одновременно."
"TID_TUTORIAL_WORKER_MENU","Ура! У меня столько идей, я столько хочу построить. Смотри, вот мой список!"
"TID_TUTORIAL_WORKER_MENU2","Я всегда записываю сюда свои идеи. Но вы здорово знаете свое дело, так что выбирать вам!"
"TID_TUTORIAL_WORKER_MENU3","Отлично! Мы теперь команда! Может, я как-нибудь зайду к вам и... Хр-р-р..."
"TID_TUTORIAL_WORKER_MENU4","Вождь, кажется, у нас море работы. И присматривать за нашей деревней тоже нужно."
"TID_TYPE_ACCEPT_CLAN_INVITE_WHILE_IN_CLAN_TEXT","Если вы примете это приглашение, то покинете текущий клан. Вы точно хотите продолжить?"
"TID_TYPE_ACCEPT_CLAN_INVITE_WHILE_IN_CLAN_TITLE","Выход из клана"
"TID_UI_TOP_VIEWERS_TITLE","Наблюдатели:"
"TID_UNABLE_TO_COPY_CURRENT_ARMY_TO_FRIENDLY_ARMY","Не удается скопировать текущую армию."
"TID_UNABLE_TO_LOCATE_COUNTRY_FOR_CLAN_SCORES","Для местоположения вашего клана невозможно отобразить список лучших"
"TID_UNABLE_TO_LOCATE_COUNTRY_FOR_SCORES","Невозможно найти таблицу лидеров для вашего региона."
"TID_UNABLE_TO_WATCH","Игрок не участвует в бою."
"TID_UNCLOK_FROM_LABORATORY","Откройте в лаборатории"
"TID_UNDERAGE_PLAYER_LOGIN_DISALLOWED_KUNLUN","根据国家防沉迷通知的相关要求和最新强化的防沉迷政策，由于您是未成年玩家，仅能在周五、周六、周日及法定节假日每日20时至21时登录游戏，在上述时间段之外无法游戏，请注意休息。"
"TID_UNDERAGE_PLAYER_PLAYTIME_ENDED_KUNLUN","根据国家防沉迷通知的相关要求和最新强化的防沉迷政策，由于您是未成年玩家，仅能在周五、周六、周日及法定节假日每日20时至21时登录游戏，在上述时间段之外无法游戏，请注意休息。"
"TID_UNDERAGE_PLAYER_PLAYTIME_ENDING_SOON_WARNING_KUNLUN","根据国家防沉迷通知的相关要求，未成年玩家仅能在\q周五、周六、周日和法定节假日每日20时至21时登录游戏\q，其他时间无法游戏，今日可游戏时间剩余<num>分钟。请您注意休息。"
"TID_UNITS_LEFT","Осталось: <number>"
"TID_UNIT_ABILITY_COOLDOWN_ACTIVE","Придется подождать, прежде чем снова использовать способность этого воина!"
"TID_UNIT_COUNT","Воины:"
"TID_UNIT_STORAGE_CAPACITY","Количество войск: <number>"
"TID_UNIT_STORAGE_CAPACITY_ALL","Вмещаемые войска: <number>"
"TID_UNLOCKED_ARMY","Войско"
"TID_UNLOCKING_ITEM","<item>: <cffcc33>разблокировать</c>?"
"TID_UNLOCK_BARRACK_TROOP","Откроется воин «<name>»"
"TID_UNLOCK_BUILDINGS","Откроются здания:"
"TID_UNLOCK_BUILDING_MULTIPLE","Откроется:"
"TID_UNLOCK_DISTRICT","Откроется район:"
"TID_UNLOCK_DISTRICT_RUINS","Откроется район и руины:"
"TID_UNLOCK_GEAR","Откроется снаряжение:"
"TID_UNLOCK_PET","Откроется: <name>."
"TID_UNLOCK_RUINS","Откроются руины:"
"TID_UNLOCK_SPELL_FORGE_SPELL","Откроется: <name>."
"TID_UNPIN_ERROR_INTERNAL_ERROR","Что-то пошло не так. Пожалуйста, попробуйте позже."
"TID_UNPIN_ERROR_MESSAGE","Не удалось открепить сообщение: {0}"
"TID_UNPLACED_BUILDINGS","Неразмещенные здания"
"TID_UPCOMING_DAYS","Следующие дни"
"TID_UPCOMING_EVENTS","Приближающиеся события"
"TID_UPDATE_REQUIRED_TO_CONTACT_SUPPORT","Прежде чем связаться с поддержкой, вам нужно обновить свою версию игры."
"TID_UPDATE_REQUIRED_TO_CONTACT_SUPPORT_TITLE","Требуется обновление"
"TID_UPDATE_TROOP_LEVEL","Повысить уровень до <number>-го"
"TID_UPDATING_CONTENT","Загрузка материалов"
"TID_UPGRADE_ANYWAY","Продолжить"
"TID_UPGRADE_ARTO_INFO","Для улучшения необходимо выполнить перечисленные ниже условия. Как только все будет готово, откроется новейшее изобретение главного строителя — Б.О.Б.О.!"
"TID_UPGRADE_BUILDING_TO_LEVEL_TO_BUILD_MORE","<building>: улучшите до <number>-го уровня, чтобы построить еще!"
"TID_UPGRADE_BUILDING_TO_LEVEL_TO_UNLOCK","<building>: улучшите до <number>-го уровня, чтобы открыть!"
"TID_UPGRADE_CAPITAL_UNIT","<name>: уровень улучшится до <number>-го."
"TID_UPGRADE_COUNT_LIMITED","Ты можешь улучшить еще здания: <num>"
"TID_UPGRADE_COUNT_LIMIT_HIT","<c2>Ты больше не можешь улучшать эти здания</c>"
"TID_UPGRADE_DENIED_UPGRADE_COUNT_LIMIT","Максимальное число этих зданий уже улучшено."
"TID_UPGRADE_FINISH_NOW","Закончить улучшение:"
"TID_UPGRADE_HOME_TH_LOCKED_INFO","Постройте следующие здания, чтобы открыть следующий уровень ратуши!"
"TID_UPGRADE_HOME_TH_NOT_RECOMMENDED_INFO","Улучшение ратуши приведет к тому, что вы будете получать более сильных противников, которых вам будет сложно победить. Перед тем, как улучшать ратушу, стоит сначала повысить силу атаки."
"TID_UPGRADE_INFO_ATTACK_SPEED","<old> скорость атаки (на <num> сек.)"
"TID_UPGRADE_INFO_DAMAGE","Урон: <old> (+<num>)"
"TID_UPGRADE_INFO_DEPLOY_UNIT","<old> скорость высадки войск (<name> +15 %)"
"TID_UPGRADE_INFO_DPS","<old> урон в секунду (+<num>)"
"TID_UPGRADE_INFO_HOUSING","<old> количество воинов в военном лагере (+<num>)"
"TID_UPGRADE_INFO_HP","<old> здоровье (+<num>)"
"TID_UPGRADE_INFO_ITEM_SPACER","<old> и"
"TID_UPGRADE_INFO_SPAWNED_UNITS","<old> количество призываемых существ (+<num>)"
"TID_UPGRADE_INFO_SPAWNING","<old> скорость появления воина «<name>» на 20  %."
"TID_UPGRADE_INFO_SPECIAL_ABILITY","Открывает особую способность «<name>»."
"TID_UPGRADE_INFO_SPECIAL_ABILITY_IMPROVED","Улучшает способность «<name>»."
"TID_UPGRADE_INFO_START","Увеличивает"
"TID_UPGRADE_SHIPYARD_TO_SAIL","Почините корабль, чтобы отправиться в плавание к новым землям!"
"TID_UPGRADE_TASKS_TITLE","Условия для улучшения"
"TID_UPGRADE_THE_REQUIRED_BUILDING_FIRST","<name> <level>-го уровня требуется в деревне строителя!"
"TID_UPGRADE_TH_LOCKED_GEARUP","Модернизировано максимальное число этих зданий."
"TID_UPGRADE_TH_LOCKED_INFO","Постройте следующие здания, чтобы открыть следующий уровень дома строителя!"
"TID_UPGRADE_TH_LOCKED_TITLE","Улучшение заблокировано"
"TID_UPGRADE_TH_LOCKED_TITLE2","Требуются здания:"
"TID_UPGRADE_TH_NOT_RECOMMENDED_TITLE","Пока вы не начали улучшение..."
"TID_UPGRADE_TH_NOT_RECOMMENDED_TITLE2","Рекомендуемые улучшения:"
"TID_UPGRADE_TH_TO_GEARUP_UNLOCK","Улучшите дом строителя до <number>-го уровня, чтобы модернизировать больше зданий!"
"TID_UPGRADE_TIME","Время улучшения"
"TID_UPGRADE_UNITS2","Улучшить воинов"
"TID_UPGRADE_WINDOW_NOTE","Внимание!"
"TID_UPGRADING_SUBTITLE","Улучшается до <number>-го уровня"
"TID_UPGRADING_TOWN_HALL_FIRST","Сначала нужно повысить уровень ратуши."
"TID_UPGRADING_WEAPON_FIRST","Сначала нужно улучшить оружие."
"TID_USES_VILLAGE2_BUILDER","Нужен главный строитель!"
"TID_USE_ATTACK_CODE_BUTTON","Используйте код испытания"
"TID_USE_CLOCKTOWER_POTION_TITLE","Ускорить деревню строителя?"
"TID_USE_CURRENT_ARMY_AS_FRIENDLY_ARMY","Копировать текущую армию"
"TID_USE_SPELL_EVENT_ACHIEVEMENT_DESC","Испытание: победите в многопользовательском режиме!\n<cffec78>• <unit>: нужно использовать 1 р.</c>"
"TID_USE_SPELL_EVENT_ACHIEVEMENT_DESC_PLURAL","Испытание: победите в многопользовательском режиме!\n<cffec78>• <unit>: нужно использовать <usecount> р.</c>"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC","Испытание: победите в многопользовательском режиме!\n<cffec78>• <unit>: нужно использовать 1 р.</c>"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC_PLURAL","Испытание: победите в многопользовательском режиме!\n<cffec78>• <unit>: нужно использовать <usecount> р.</c>"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_NAME","<unit>: использовать"
"TID_V2_DUEL_FEED_BATTLE_STARTED","Бой начался!"
"TID_V2_DUEL_FEED_BH_DESTROYED","Дом строителя уничтожен!"
"TID_V2_DUEL_FEED_DESTROYED","Уничтожено"
"TID_V2_START_DUEL_ACTIVE","Ошибка при подборе противников, дуэль уже началась."
"TID_V2_START_DUEL_ALREADY_IN_MATCHMAKING","Ошибка при подборе противников, поиск уже идет."
"TID_V2_START_DUEL_GENERIC_ERROR","Ошибка при подборе противников!"
"TID_V2_START_DUEL_SNAPSHOT_FAILED","Ошибка при подборе противников, противник не найден."
"TID_V2_TRAINING_BARRACKS_UPGRADING","Тренировка войск приостанавливается на время улучшения казарм!"
"TID_VALUE","ВЫГОДА"
"TID_VALUE_STICKER_CONTENT","В <value> р. выгоднее"
"TID_VERSUS_BATTLE_ADD_MESSAGE","Добавьте сообщение, чтобы начать дружеское испытание!"
"TID_VERSUS_BATTLE_SELECT_VALID_LAYOUT","Выберите рабочую планировку, чтобы начать дружеское испытание!"
"TID_VERSUS_BATTLE_TRAIN_ARMY","Подготовьте целую армию, чтобы начать дружеское испытание!"
"TID_VICTORY","Победа"
"TID_VIEW_ALLIANCE","Просмотр клана"
"TID_VIEW_ALLIANCE_TAB","Просмотр клана"
"TID_VIEW_HIGHSCORES","Узнайте больше о сильнейших кланах и игроках со всего мира."
"TID_VIEW_PLAYER_ON_WAR_MAP_BUTTON","Смотреть на карте"
"TID_VIEW_PROFILE_BUTTON","Профиль"
"TID_VIEW_PROFILE_TAB","Профиль игрока"
"TID_VILLAGE2_PVP_LOOT","Победы"
"TID_VILLAGER_BUILDER_INFO_ITEM1","Ученик строителя помогает строителям быстрее проводить улучшения!"
"TID_VILLAGER_BUILDER_INFO_ITEM2","Его можно нанять для работы над улучшением раз в день после того, как он отдохнет."
"TID_VILLAGER_BUILDER_INFO_ITEM3","Он работает один час каждый день. Повысьте его уровень, чтобы увеличить скорость работы."
"TID_VILLAGER_LIST_ASSIGN","Нанять ученика строителя?"
"TID_VILLAGER_LIST_BUILDER_NO_JOB","Начните строительство, чтобы нанять ученика строителя."
"TID_VILLAGER_LIST_IN_PROGRESS","Работа выполняется"
"TID_VILLAGER_LIST_PROGRESS_BUTTON_START","Нанять"
"TID_VILLAGER_LIST_WAITING","Текущие улучшения:"
"TID_VILLAGER_STATUS_LOCKED","Заблокировано"
"TID_VILLAGER_STATUS_READY","Готов к работе!"
"TID_VILLAGER_STATUS_WAITING","Доступно через: <time>"
"TID_VILLAGER_STATUS_WORKING","Осталось: <time>"
"TID_VILLAGER_UNLOCK_FIRST","Разблокируйте ученика строителя в магазине, чтобы нанять его работать над улучшением."
"TID_VILLAGER_WAIT_COOLDOWN","Ученик строителя сейчас отдыхает. Зайдите попозже!"
"TID_VILLAGE_EDIT_MODE","Режим изменения деревни"
"TID_VILLAGE_EDIT_MODE_V2","Режим изменения деревни строителя"
"TID_VILLAGE_EDIT_MODE_WAR","Режим изменения военной базы"
"TID_VILLAGE_EDIT_SAVE_FAILED","Не удалось сохранить деревню. Пожалуйста, попробуйте снова."
"TID_VILLAGE_EDIT_SUCCESS","Ваша деревня сохранена."
"TID_VILLAGE_GUARD_TITLE","Защита:"
"TID_VILLAGE_NOT_PREPARED","Деревня не готова"
"TID_VILLAGE_OBJECT_ROWBOAT_INFO","Главный строитель может посещать вашу деревню и создавать особые улучшения для ваших зданий! Возможные варианты улучшений указаны в свойствах защитных сооружений."
"TID_VILLAGE_OBJECT_SHIP","Корабль"
"TID_VILLAGE_OBJECT_SHIP_INFO","На корабле можно отправиться в плавание к новым землям!"
"TID_VILLAGE_PREPARED","Деревня готова"
"TID_VILLAGE_ROWBOAT","Лодка строителя"
"TID_VILLAGE_UNDER_ATTACK","Деревню атакуют!"
"TID_VISITING","В гостях"
"TID_VISIT_BUTTON","Посетить"
"TID_VISIT_FAILED","Не удалось посетить деревню. Пожалуйста, попробуйте позже."
"TID_VISIT_FAILED_RESTRICTED","Не получается посетить эту деревню."
"TID_VOUCHER_CLAIM_TEXT","Получить награду сейчас?"
"TID_VOUCHER_CLAIM_TITLE","Получение награды"
"TID_VS","против"
"TID_VS_ATTACK_CONFIRM_INFO","Прежде чем начать дружеское испытание, как следует к нему подготовьтесь!"
"TID_WAITING","Ждем"
"TID_WAITING_FOR_ATTACK","Противник атакует!"
"TID_WAITING_FOR_BATTLE_CODE","Ждем код..."
"TID_WAITING_FOR_COOLDOWN","Доступно:"
"TID_WAITING_FOR_DUEL_NOTIFICATION","Игрок готов к бою в деревне строителя!"
"TID_WAITING_FOR_ENEMY","Ждем противника"
"TID_WAIT_A_WHILE_BEFORE_RETRY_CHALLENGE","Вы проводили испытание совсем недавно, попробуйте снова через <time>."
"TID_WAIT_BEFORE_ARRANGING_WAR_AGAIN","Новый вызов можно отправить через <time>"
"TID_WAIT_BEFORE_TAGGING","Теги в чате клана станут доступны через <number> мин. после вступления в клан!"
"TID_WALL_BREAKER","Стенобой"
"TID_WALL_INFO","Стены прекрасно защищают вашу деревню и позволяют атаковать врагов на расстоянии."
"TID_WARLOCK","Ведьма"
"TID_WARMACHINE","Боевая машина"
"TID_WARMACHINE_INFO","Эта громадная машина сломалась во время попытки поднять самый тяжелый молот в мире. Ее можно починить и использовать в бою!"
"TID_WARNING_1_GEM_DONATIONS_INACTIVE","Жертвование за 1 кристалл не активно. Вы точно хотите пожертвовать за кристаллы?"
"TID_WARNING_BH_LEVEL_TOO_LOW_TO_COPY_LEVEL","Чтобы копировать планировки, повысьте дом строителя до <num>-го уровня."
"TID_WARNING_CANNOT_COPY_LAYOUT_WHILE_EDITING","Нельзя скопировать планировку во время редактирования другой."
"TID_WARNING_CANNOT_SHARE_INCOMPLETE_LAYOUTS","Можно поделиться только законченной планировкой"
"TID_WARNING_INVALID_LAYOUT_CODE","Эта ссылка на планировку недействительна."
"TID_WARNING_SHARED_LAYOUT_NOT_AVAILABLE","Эта планировка уже недоступна"
"TID_WARNING_TH_LEVEL_TOO_LOW_TO_COPY_LEVEL","Чтобы копировать планировки, повысьте ратушу до <num>-го уровня."
"TID_WARNING_WAR_MEMBER_NOT_IN_CLAN","Игрок не состоит в клане."
"TID_WAROPTIN_COUNTIN","Да"
"TID_WAROPTIN_LEAVE","Покинуть"
"TID_WAROPTIN_LEAVEOUT","Нет"
"TID_WAROPTIN_TAKE","Принять"
"TID_WARRIORGIRL","Валькирия"
"TID_WARS_WON","Выиграно войн:"
"TID_WARTOOLS_ATTACK_CONFIRMATION","Эта цель выбрана другим игроком. Все равно атаковать?"
"TID_WARTOOLS_CLAIM_TARGET","Выбрать цель"
"TID_WARTOOLS_EMPTY_NOTES","Коснитесь, чтобы оставить заметку."
"TID_WARTOOLS_REMOVE_CLAIM","Отменить выбор цели"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TEXT","Войска и заклинания в крепости клана: <number>"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TEXT_WITH_SIEGE","Помощь из крепости клана: <number>"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TROOPS_ONLY_TEXT","Воины крепости клана:<number>"
"TID_WAR_ATTACK_CONFIRM_HEROES","Героев: <number>"
"TID_WAR_ATTACK_CONFIRM_INFO","Убедитесь, что готовы! На это потребуется одна из оставшихся атак в войне."
"TID_WAR_ATTACK_CONFIRM_SIEGE_MACHINE_TEXT","Осадная машина (<number>)"
"TID_WAR_ATTACK_CONFIRM_SPELLS_TEXT","Заклинаний: <number>"
"TID_WAR_ATTACK_CONFIRM_TITLE","Атаковать?"
"TID_WAR_ATTACK_CONFIRM_TROOPS_TEXT","Воинов: <number>"
"TID_WAR_BASE","Изменить военную базу"
"TID_WAR_BATTLE_INFO","Все атаки проходят в день сражения. Засчитывается только лучшая атака, поэтому стратегия очень важна! Атака в войне кланов не повлияет на ваш щит или трофеи."
"TID_WAR_BATTLE_INFO_HEADLINE","День сражения"
"TID_WAR_BROWSE","Подробности"
"TID_WAR_CANNOT_EXCLUDE_MAX_REACHED","Больше никого нельзя исключить из войны!"
"TID_WAR_DATA_ERROR_INTERNAL","Невозможно узнать подробнее о войне, пожалуйста, попробуйте позже."
"TID_WAR_DATA_ERROR_INVALID_WAR","Невозможно узнать подробнее о войне!"
"TID_WAR_DATA_ERROR_NO_LONGER_AVAILABLE","Подробности этой войны недоступны."
"TID_WAR_DAY_DURATION","Время боя"
"TID_WAR_DONATE","Жертвовать"
"TID_WAR_DONATE_DONE","Вы уже отдали этому игроку максимальное количество воинов!"
"TID_WAR_DONATE_FULL","Игрок не может принять больше воинов."
"TID_WAR_DONATE_MESSAGE","Запрос"
"TID_WAR_DONATE_MESSAGE_SAVED","Сообщение о пожертвовании сохранено"
"TID_WAR_DONATE_SPECTATOR","Наблюдатели не могут жертвовать войска!"
"TID_WAR_DURATION","Бой:"
"TID_WAR_EXCLUDED_MEMBERS","Исключенные участники:"
"TID_WAR_HISTORY_NOT_AVAILABLE","Ваш клан еще ни разу не воевал!"
"TID_WAR_HISTORY_NOT_AVAILABLE_OTHER","Этот клан еще ни разу не воевал!"
"TID_WAR_INFO","В каждой двухдневной войне побеждает клан, набравший больше звезд. Победивший клан получает бонусную добычу и опыт клана. Выигрывая сражения, вы увеличиваете размер бонуса, а поражение в войне приведет к потере большей его части! В случае ничьей побеждает клан, нанесший больше разрушений в своих лучших атаках."
"TID_WAR_INFO_BUTTON","О войне"
"TID_WAR_INFO_FRIENDLYWAR_ADDITION","В каждой двухдневной войне побеждает клан, набравший больше звезд. Победивший клан получает бонусную добычу и опыт клана. Выигрывая сражения, вы увеличиваете размер бонуса, а поражение в войне приведет к потере большей его части! В случае ничьей побеждает клан, нанесший больше разрушений в своих лучших атаках.\n\nПомните: вы можете выбрать длительность дружеских войн, но они не принесут вам ни опыта клана, ни добычи."
"TID_WAR_INFO_HEADLINE","Обзор"
"TID_WAR_LEAGUES","Военные лиги"
"TID_WAR_LEAGUE_STATS_TITLE","История военной лиги"
"TID_WAR_NOT_ENOUGH_PARTICIPANTS","Для начала войны наберите еще участников"
"TID_WAR_PARTICIPANTS_HEADER","Участники войны:"
"TID_WAR_PERSONAL_INFO","Хотите участвовать в войнах кланов? Ваше пожелание увидят все соклановцы."
"TID_WAR_PERSONAL_SETTING_IN","Да"
"TID_WAR_PERSONAL_SETTING_LEAVE_ME","Оставьте меня"
"TID_WAR_PERSONAL_SETTING_OUT","Нет"
"TID_WAR_PERSONAL_SETTING_TAKE_ME","Возьмите меня"
"TID_WAR_PREPARE","Приготовьтесь!"
"TID_WAR_PREPARE_ARMYCAMP_INFO","Готовьте деревню к войне!\nЗаполните<c2>крепость клана</c> и помогите соклановцам, соберите лучших <c2>воинов</c>, создайте могущественные <c2>заклинания</c> и убедитесь, что <c2>герои</c> готовы к сражению!"
"TID_WAR_RESULTS_BUTTON","Результаты войны"
"TID_WAR_RESULTS_INFO","В конце войны бонусная добыча попадет в вашу сокровищницу. Победа в войне также вознаграждается опытом клана. Результаты войны и повторы будут доступны некоторое время после окончания войны. Загляните в журнал «Ход войны», чтобы вспомнить о прошлых сражениях!"
